Number,Song,Artist,Streams,,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
1,Beggin',Måneskin,7671841,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Stay (with Justin Bieber),The Kid LAROI,7331836,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,good 4 u,Olivia Rodrigo,6347866,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,Bad Habits,Ed Sheeran,5917934,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
5,MONTERO (Call Me By Your Name),Lil Nas X,4661079,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,Kiss Me More (feat. SZA),Doja Cat,4535746,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,4477858,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,Todo De Ti,Rauw Alejandro,4252887,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
9,Yonaguni,Bad Bunny,3943317,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
10,I WANNA BE YOUR SLAVE,Måneskin,3828774,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,Levitating (feat. DaBaby),Dua Lipa,3663241,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
